Date_Time,Day_of_Week,Object_1,Object_2,Street_Number,Street_Name,Cross_Street,Near_Street,Location,May_involve_cyclist,May_Involve_Pedestrian,Manner_of_Collision,First_Harmful_Event_Location,First_Harmful_Event,Ambient_Light,Weather_Condition_1,Weather_Condition_2,Traffic_Control_Device_Type,Traffic_Control_Device_Functionality,Road_Surface_Condition,Roadway_Junction_Type,Trafficway_Description,School_Bus_Related,Work_Zone,Speed_Limit,Street_or_Intersection,Intersection_Name_1,Intersection_Direction_1,Intersection_Name_2,Intersection_Direction_2,Intersection_Name_3,Intersection_Direction_3,Street_Direction,Nearest_Intersection_Distance,Nearest_Intersection_Direction,Landmark_Distance,Landmark_Direction,Landmark,Mile_Marker_Direction,Non_Public_Area,Road_Contributing,Damaged_Property_Type,Description_of_Damaged_Property,V1_Registration_Type,v1_State_Code,V1_Configuration,V1_Emergency_Response,V1_Moped,V1_Hit_and_Run,V1_Action_Prior_to_Crash,V1_Model_Year,V1_Most_Harmful_Event,V1_Model,V1_Make,V1_Occupant_Count,V1_Underride_Override,V1_First_Event,V1_Second_Event,V1_Third_Event,V1_Fourth_Event,V1_Most_Damaged_Area,V1_Second_Damaged_Area,V1_Third_Damaged_Area,V1_Towed,V1_Travel_Direction,V1_Interstate,V1_Cargo_Body_Type,V1_Gross_Weight,V1_Haz_Placard,V1_Haz_Release,V1_Trailer_Reg_Type,V1_Trailer_Reg_Plate,V1_Trailer_Reg_State,V1_Trailer_Reg_Year,V1_Trailer_Len,V1_Driver_Contribution,V1_Driver_Contribution_2,V1_Is_Truck,V1_Has_Trailer,V1_Is_Bus,V1_Is_Hazmat,V1_Reg_Year,V1_Driver_Distracted,V1_Bus_Use,V1_Tow_Use,V2_Registration_Type,V2_State_Code,V2_Configuration,V2_Emergency_Response,V2_Moped,V2_Hit_and_Run,V2_Action_Prior_to_Crash,V2_Model_Year,V2_Most_Harmful_Event,V2_Model,V2_Make,V2_Occupant_Count,V2_Underride_Override,V2_First_Event,V2_Second_Event,V2_Third_Event,V2_Fourth_Event,V2_Most_Damaged_Area,V2_Second_Damaged_Area,V2_Third_Damaged_Area,V2_Towed,V2_Travel_Direction,V2_Interstate,V2_Cargo_Body_Type,V2_Gross_Weight,V2_Haz_Placard,V2_Haz_Release,V2_Trailer_Reg_Type,V2_Trailer_Reg_Plate,V2_Trailer_Reg_State,V2_Trailer_Reg_Year,V2_Trailer_Len,V2_Driver_Contribution,V2_Driver_Contribution_2,V2_Is_Truck,V2_Has_Trailer,V2_Is_Bus,V2_Is_Hazmat,V2_Reg_Year,V2_Driver_Distracted,V2_Bus_Use,V2_Tow_Use,P1_Role,P1_Injury,P1_Drivers_Lic_State,P1_Drivers_Lic_Class_1,P1_Drivers_Lic_Class_2,P1_Drivers_Lic_Restrict,P1_Non_Motorist_Desc,P1_Non_Motorist_Action,P1_Non_Motorist_Location,P1_Safety_Equipment,P1_Age,P1_Sex,P1_Seat_Position,P1_Safety_System,P1_Trapped,P1_Veh_Owner,P2_Role,P2_Injury,P2_Drivers_Lic_State,P2_Drivers_Lic_Class_1,P2_Drivers_Lic_Class_2,P2_Drivers_Lic_Restrict,P2_Non_Motorist_Desc,P2_Non_Motorist_Action,P2_Non_Motorist_Location,P2_Safety_Equipment,P2_Age,P2_Sex,P2_Seat_Position,P2_Safety_System,P2_Trapped,P2_Veh_Owner,Latitude,Longitude,Date
08/31/2023 06:43:00 PM,Thursday,PASSENGER CAR ,,,MAIN ST ,BROADWAY,,"MAIN ST
Cambridge, MA
(42.362200004, -71.084043914)",1.000000000000000,,ANGLE ,ROADWAY ,COLLISION WITH PEDALCYCLE ,DUSK,CLEAR ,,STOP SIGNS,YES ,DRY ,T-INTERSECTION,"ONE-WAY, NOT DIVIDED",NO,NO,25,INTERSECTION,MAIN ST ,NORTHBOUND,BROADWAY,WESTBOUND ,,,,,,,,,,,NONE,,,PAN ,MA,PASSENGER CAR ,N,,,SLOWING OR STOPPED IN TRAFFIC ,2023,COLLISION WITH PEDALCYCLE ,PRIUS ,TOYOTA,1.000000000000000,,COLLISION WITH PEDALCYCLE ,,,,LEFT FRONT,,,N,NORTHBOUND,,,,,,,,,,,INATTENTION ,,,,,,,UNKNOWN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER ,NO APPARENT INJURY,MASSACHUSETTS ,"D, CLASS D VEHICLES ",,NONE,,,,,,FEMALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER ",UNKNOWN ,NOT TRAPPED ,,NON-MOTORIST,NO APPARENT INJURY,MASSACHUSETTS ,,,,CYCLIST ,ENTERING OR CROSSING SPECIFIED LOCATION ,MARKED CROSSWALK AT INTERSECTION,NONE USED ,,MALE,,,,,42.362200004000002,-71.084043914000006,8/31/2023 18:43:00
08/05/2023 07:30:00 PM,Saturday,PASSENGER CAR ,,5,CAMBRIDGE PARKWAY ,,,"5 CAMBRIDGE PARKWAY
Cambridge, MA
(42.366481271, -71.075278032)",,,"SIDESWIPE, SAME DIRECTION ",ROADWAY ,COLLISION WITH PARKED MOTOR VEHICLE ,DUSK,CLEAR ,CLEAR ,NO CONTROLS ,,DRY ,NOT AT INTERSECTION ,"ONE-WAY, NOT DIVIDED",NO,NO,25,NON INTERSECTION,,,,,,,SOUTHBOUND,,,,,,,,NONE,,,PAN ,MA,PASSENGER CAR ,N,,Y,PARKED,2014,COLLISION WITH PARKED MOTOR VEHICLE ,IMPREZA ,SUBARU,0.000000000000000,,COLLISION WITH OTHER MOVABLE OBJECT ,COLLISION WITH PARKED MOTOR VEHICLE ,COLLISION WITH PARKED MOTOR VEHICLE ,COLLISION WITH PARKED MOTOR VEHICLE ,LEFT FRONT,,,N,SOUTHBOUND,,,,,,,,,,,NO IMPROPER DRIVING ,NO IMPROPER DRIVING ,,,,,,UNKNOWN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNINVOLVED OWNER,NO APPARENT INJURY,,"D, CLASS D VEHICLES ","M, CLASS M VEHICLES ",NONE,,,,,,MALE,,,,Y,,,,,,,,,,,,,,,,,42.366481270999998,-71.075278032000000,8/5/2023 19:30:00
08/01/2023 01:45:00 PM,Tuesday,PASSENGER CAR ,,15,LAMBERT ST,,,"15 LAMBERT ST
Cambridge, MA
(42.372751731, -71.086978918)",,,UNKNOWN ,OUTSIDE ROADWAY ,UNKNOWN ,UNKNOWN ,UNKNOWN ,,NO CONTROLS ,,UNKNOWN ,NOT AT INTERSECTION ,UNKNOWN ,NO,NO,5,NON INTERSECTION,,,,,,,EASTBOUND ,,,,,,,,NONE,,,PAN ,MA,PASSENGER CAR ,N,,Y,PARKED,2019,UNKNOWN ,PRIUS ,TOYOTA,,,UNKNOWN ,,,,LEFT SIDE ,LEFT FRONT,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNINVOLVED OWNER,,MASSACHUSETTS ,,,,,,,,,FEMALE,,,,Y,,,,,,,,,,,,,,,,,42.372751731000001,-71.086978918000000,8/1/2023 13:45:00
08/15/2023 03:56:00 PM,Tuesday,PASSENGER CAR ,PASSENGER CAR ,,MASSACHUSETTS AVENUE,GARDEN STREET ,,"MASSACHUSETTS AVENUE
Cambridge, MA
(42.393562695, -71.125923831)",,,"SIDESWIPE, SAME DIRECTION ",ROADWAY ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,DAYLIGHT,CLOUDY,,NO CONTROLS ,,WET ,Y-INTERSECTION,"ONE-WAY, NOT DIVIDED",NO,NO,25,INTERSECTION,MASSACHUSETTS AVENUE,EASTBOUND ,GARDEN STREET ,SOUTHBOUND,,,,,,,,,,,NONE,,,PAN ,MA,PASSENGER CAR ,N,,,UNKNOWN ,2017,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,SANTAFE ,HYUN,1.000000000000000,,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,,,,RIGHT FRONT ,,,N,SOUTHBOUND,,,,,,,,,,,UNKNOWN ,,,,,,,UNKNOWN ,,NO,PAN ,MA,PASSENGER CAR ,N,,,UNKNOWN ,2007,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,PRIUS ,TOYOTA,1.000000000000000,,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,,,,LEFT REAR ,,,N,EASTBOUND ,,,,,,,,,,,UNKNOWN ,,,,,,,UNKNOWN ,,,OPERATOR/DRIVER ,NO APPARENT INJURY,MASSACHUSETTS ,"D, CLASS D VEHICLES ",,NONE,,,,,,FEMALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER ",,,Y,OPERATOR/DRIVER ,NO APPARENT INJURY,FLORIDA ,"D, CLASS D VEHICLES ",,NONE,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER ",,,,42.393562695000000,-71.125923830999994,8/15/2023 15:56:00
08/30/2023 03:00:00 PM,Wednesday,PASSENGER CAR ,,26,CONCORD AVENUE,,,"26 CONCORD AVENUE
Cambridge, MA
(42.37910668, -71.125454116)",,,UNKNOWN ,ROADWAY ,COLLISION WITH PARKED MOTOR VEHICLE ,UNKNOWN ,UNKNOWN ,,NO CONTROLS ,,UNKNOWN ,NOT AT INTERSECTION ,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO,NO,20,NON INTERSECTION,,,,,,,EASTBOUND ,,,,,,,,UNKNOWN ,,,PAN ,MA,PASSENGER CAR ,N,,Y,PARKED,2023,COLLISION WITH PARKED MOTOR VEHICLE ,ELANTRA ,HYUNDAI ,0.000000000000000,,COLLISION WITH PARKED MOTOR VEHICLE ,,,,CENTER FRONT,RIGHT FRONT ,,N,EASTBOUND ,,,,NO,,,,,,,NO IMPROPER DRIVING ,,,,,,,NOT DISTRACTED,NOT A BUS ,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNINVOLVED OWNER,NO APPARENT INJURY,MASSACHUSETTS ,"D, CLASS D VEHICLES ",,CORRECTIVE LENSES ,,,,,,FEMALE,,,,Y,,,,,,,,,,,,,,,,,42.379106680000000,-71.125454116000000,8/30/2023 15:00:00
08/03/2023 01:32:00 PM,Thursday,PASSENGER CAR ,,,GARDEN ST ,,,,,,UNKNOWN ,UNKNOWN ,UNKNOWN ,DAYLIGHT,CLEAR ,,NO CONTROLS ,YES ,DRY ,UNKNOWN ,UNKNOWN ,NO,NO,25,NON INTERSECTION,,,,,,,EASTBOUND ,,,,,,,,UNKNOWN ,,,PAN ,MA,PASSENGER CAR ,N,,Y,PARKED,2022,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,MDX ,ACURA ,1.000000000000000,,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,,,,LEFT FRONT,LEFT SIDE ,,N,EASTBOUND ,,,,,,,,,,,NO IMPROPER DRIVING ,,,,,,,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER ,NO APPARENT INJURY,MASSACHUSETTS ,"D, CLASS D VEHICLES ",,NONE,,,,,57.000000000000000,MALE,OTHER ,UNKNOWN ,NOT TRAPPED ,Y,,,,,,,,,,,,,,,,,,,8/3/2023 13:32:00
08/27/2023 11:22:00 AM,Sunday,PASSENGER CAR ,,5,MASSACHUSETTS AVENUE,,,"5 MASSACHUSETTS AVENUE
Cambridge, MA
(42.357526745, -71.092673258)",,,SINGLE VEHICLE CRASH,OUTSIDE ROADWAY ,COLLISION WITH TREE ,DAYLIGHT,CLEAR ,,NO CONTROLS ,YES ,DRY ,NOT AT INTERSECTION ,"TWO-WAY, NOT DIVIDED",NO,NO,25,NON INTERSECTION,,,,,,,NORTHBOUND,,,,,,,,NONE,,,PAN ,MA,PASSENGER CAR ,N,,,TRAVELING STRAIGHT AHEAD,2006,COLLISION WITH TREE ,COROLLA ,TOYOTA,1.000000000000000,,CROSS MEDIAN/CENTERLINE ,COLLISION WITH CURB ,COLLISION WITH TREE ,,RIGHT FRONT ,CENTER FRONT,,Y,NORTHBOUND,,,,,,,,,,,OTHER IMPROPER ACTION ,,,,,,,UNKNOWN ,,YES OTHER REASON NOT DISABLED ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER ,NO APPARENT INJURY,MASSACHUSETTS ,"D, CLASS D VEHICLES ",,NONE,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER ",UNKNOWN ,NOT TRAPPED ,Y,,,,,,,,,,,,,,,,,42.357526745000001,-71.092673258000005,8/27/2023 11:22:00
08/08/2023 12:14:00 PM,Tuesday,PASSENGER CAR ,,,GARDEN STREET ,,DONNELL STREET,,,,HEAD ON ,ROADWAY ,OTHER ,DAYLIGHT,RAIN,,NO CONTROLS ,NO,WET ,NOT AT INTERSECTION ,"ONE-WAY, NOT DIVIDED",NO,NO,25,NON INTERSECTION,,,,,,,WESTBOUND ,,,,,,,,OBSTRUCTION IN ROADWAY,,,PAN ,MA,PASSENGER CAR ,N,,,TRAVELING STRAIGHT AHEAD,2016,OTHER ,CRV ,HOND,1.000000000000000,,OTHER ,,,,LEFT REAR ,,,N,WESTBOUND ,,,,,,,,,,,NO IMPROPER DRIVING ,,,,,,,UNKNOWN ,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER ,NO APPARENT INJURY,MASSACHUSETTS ,"D, CLASS D VEHICLES ",,NONE,,,,,,FEMALE,,,,Y,,,,,,,,,,,,,,,,,,,8/8/2023 12:14:00
08/11/2023 08:30:00 AM,Friday,PASSENGER CAR ,,1350,MASSACHUSETTS AVE ,,,"1350 MASSACHUSETTS AVE
Cambridge, MA
(42.372658272, -71.118659243)",,,UNKNOWN ,UNKNOWN ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,UNKNOWN ,UNKNOWN ,UNKNOWN ,NO CONTROLS ,,UNKNOWN ,UNKNOWN ,UNKNOWN ,NO,NO,25,NON INTERSECTION,,,,,,,WESTBOUND ,,,,,,,,UNKNOWN ,,,PAN ,MA,PASSENGER CAR ,N,,Y,PARKED,1997,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,CAMRY ,TOYOTA,0.000000000000000,,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,,,,LEFT FRONT,,,N,UNKNOWN ,,,,,,,,,,,NO IMPROPER DRIVING ,,,,,,,NOT DISTRACTED,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNINVOLVED OWNER,,MASSACHUSETTS ,"D, CLASS D VEHICLES ",,,,,,,,MALE,,,,Y,,,,,,,,,,,,,,,,,42.372658272000002,-71.118659242999996,8/11/2023 8:30:00
08/25/2023 08:03:00 AM,Friday,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",PASSENGER CAR ,1,BENNETT STREET,,,"1 BENNETT STREET
Cambridge, MA
(42.371966263, -71.122610136)",,,ANGLE ,ROADWAY ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,DAYLIGHT,RAIN,CLOUDY,NO CONTROLS ,,WET ,NOT AT INTERSECTION ,"TWO-WAY, NOT DIVIDED",NO,NO,20,NON INTERSECTION,,,,,,,EASTBOUND ,,,,,,,,NONE,,,PAN ,MA,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",N,,,ENTERING TRAFFIC LANE ,2021,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,FORESTER,SUBARU,3.000000000000000,,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,,,,CENTER FRONT,,,Y,NORTHBOUND,,,,,,,,,,,FAILED TO YIELD THE RIGHT OF WAY,,,,,,,UNKNOWN ,,YES VEHICLE OR TRAILER DISABLED ,PAN ,MA,PASSENGER CAR ,N,,,TRAVELING STRAIGHT AHEAD,2020,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,IMPREZA ,SUBARU,1.000000000000000,,COLLISION WITH MOTOR VEHICLE IN TRAFFIC ,,,,CENTER FRONT,RIGHT FRONT ,,Y,EASTBOUND ,,,,,,,,,,,NO IMPROPER DRIVING ,,,,,,,UNKNOWN ,,YES VEHICLE OR TRAILER DISABLED ,OPERATOR/DRIVER ,NO APPARENT INJURY,MASSACHUSETTS ,"D, CLASS D VEHICLES ",,UNKNOWN ,,,,,,FEMALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER ",UNKNOWN ,NOT TRAPPED ,Y,OCCUPANT/PASSENGER,NO APPARENT INJURY,,,,,,,,,,FEMALE,UNKNOWN ,UNKNOWN ,NOT TRAPPED ,,42.371966262999997,-71.122610136000006,8/25/2023 8:03:00
